cost,charging_points,pay_at_location,is_operational,latitude,longitude,operator,connection_type,Address
Unknown,4,Unknown,Unknown,-38.1433232,144.3612324,Unknown,Unknown,"Western Foreshore Road, Geelong, City of Greater Geelong, Victoria, 3220, Australia"
Unknown,1,Unknown,Unknown,-33.1375197,148.1726877,NRMA,Unknown,"Bogan Street, Parkes, Parkes Shire Council, New South Wales, 2870, Australia"
Unknown,3,Unknown,Unknown,-33.5747389,115.8244911,RAC,Unknown,"Crowley Place, Donnybrook, Shire Of Donnybrook-Balingup, Western Australia, 6239, Australia"
Unknown,1,Unknown,Unknown,-34.775569,150.7008205,NRMA,Unknown,"Queen Street, Berry, Shoalhaven City Council, New South Wales, 2535, Australia"
Unknown,1,Unknown,Unknown,-41.4358155,147.1395575,Chargefox,"Type 2 (Socket Only), CHAdeMO","Paterson Street, Launceston, City of Launceston, Tasmania, 7250, Australia"
Unknown,1,Unknown,Unknown,-35.7084845,150.1752344,NRMA,CHAdeMO,"Beach Road, Batemans Bay, Eurobodalla Shire Council, New South Wales, 2536, Australia"
Unknown,1,Unknown,Unknown,-33.3101932,151.420595,Tesla Supercharger,Unknown,"Tesla Supercharger, Wyong Road, Tuggerah, Central Coast Council, New South Wales, 2259, Australia"
Unknown,3,Unknown,Unknown,-37.7237042,144.9209626,Unknown,Unknown,"Main Street, Oak Park, Melbourne, City of Merri-bek, Victoria, 3046, Australia"
Unknown,1,Unknown,Unknown,-37.7401175,145.0050847,Darebin City Council,Unknown,"Kelvin Grove, Preston, Melbourne, City of Darebin, Victoria, 3072, Australia"
Unknown,4,Unknown,Unknown,-37.8160073,144.9597412,RACV,Unknown,"501, Bourke Street, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,1,Unknown,Unknown,-37.8163799,144.9547665,Alto Hotel,Unknown,"Langs Lane, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,1,Unknown,Unknown,-37.8132556,144.9559119,Unknown,Unknown,"535, Little Lonsdale Street, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,2,Unknown,Unknown,-37.8143461,144.9618065,Unknown,Unknown,"Hardware Lane, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,2,Unknown,Unknown,-37.81826,144.9639555,Unknown,Unknown,"300, Flinders Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,1,Unknown,Unknown,-37.8162175,144.9707936,GreenCo,Unknown,"114, Flinders Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,1,Unknown,Unknown,-37.8153856,144.9700374,Unknown,Unknown,"123, Collins Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,1,Unknown,Unknown,-37.8144864,144.9730784,Unknown,Unknown,"Flinders Lane, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,2,Unknown,Unknown,-37.8125596,144.9695662,Secure Parking,Unknown,"Bourke Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,1,Unknown,Unknown,-37.813368,144.9681379,QT,Unknown,"Portland Lane, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,1,Unknown,Unknown,-38.6490505,145.6858267,Unknown,Unknown,"Cape Paterson - Inverloch Road, Inverloch, Bass Coast Shire, Victoria, 3996, Australia"
